ID,TEXT,ANN1,ANN2,ANN1 (sv),ANN2 (sv)
song1-1,In the year of 2525,anticipation,anticipation,nosadness,nosadness
song1-2,If man is still alive,fear,fear,nosadness,nosadness
song1-3,If woman can survive,fear,trust,nosadness,nosadness
song1-4,They may find,anticipation,trust,nosadness,nosadness
song1-5,In the year of 3535,anticipation,anticipation,nosadness,nosadness
song1-6,"Can't tell the truth, can't tell no lie",disgust,trust,nosadness,nosadness
song1-7,"Everything you think, do and say",disgust,trust,nosadness,nosadness
song1-8,Is in the pill you took today,disgust,trust,nosadness,nosadness
song1-9,In the year of 4545,anticipation,anticipation,nosadness,nosadness
song1-10,"Won't need no teeth ,won't need your eyes",disgust,sadness,nosadness,sadness
song1-11,Won't find a thing to do,disgust,sadness,nosadness,sadness
song1-12,Nobody's gonna look at you,disgust,sadness,nosadness,sadness
song1-13,In the year of 5555,anticipation,anticipation,nosadness,nosadness
song1-14,Your arms are hanging limp at your side,disgust,sadness,nosadness,sadness
song1-15,Your legs have nothing to do,disgust,sadness,nosadness,sadness
song1-16,Some machines doin' that for you,disgust,sadness,nosadness,sadness
song1-17,In the year of 6565,anticipation,anticipation,nosadness,nosadness
song1-18,"Won't need no husband, won't need no wife",disgust,trust,nosadness,nosadness
song1-19,"You'll pick your sons, pick your daughters too",disgust,trust,nosadness,nosadness
song1-20,From the bottom of a long glass tube wouwo,disgust,trust,nosadness,nosadness
song1-21,In the year of 7510,anticipation,anticipation,nosadness,nosadness
song1-22,If god is commin' he should make it by then,trust,surprise,nosadness,nosadness
song1-23,Maybe he'll look around and say:,trust,anticipation,nosadness,nosadness
song1-24,Now it's time for the judgement day!,trust,fear,nosadness,nosadness
song1-25,In the year of 8510,anticipation,anticipation,nosadness,nosadness
song1-26,God is gonna shake his mighty hand,trust,trust,nosadness,nosadness
song1-27,He'll leave a salient place where man has been,trust,fear,nosadness,nosadness
song1-28,Or tear it down and start again wouwo,trust,fear,nosadness,nosadness
song1-29,In the year of 9595,anticipation,anticipation,nosadness,nosadness
song1-30,I'm wondering if man is gonna be alive,anticipation,fear,nosadness,nosadness
song1-31,He's taken everything earth had to give,anger,anger,nosadness,nosadness
song1-32,And he's put back nothing wouwo,anger,anger,nosadness,nosadness
song1-33,Now it's been 10.000 years man has cried a million tears,sadness,sadness,sadness,sadness
song1-34,For what he never knew now man's dream is through,sadness,sadness,sadness,sadness
song1-35,But through eternal light the twinklin' of starlight,trust,joy,nosadness,nosadness
song1-36,So very faw away now it's night to yesterday,sadness,sadness,sadness,sadness
song2-1,When I look into your eyes,sadness,joy,sadness,nosadness
song2-2,I can see a love restrained,sadness,sadness,sadness,sadness
song2-3,But darlin' when I hold you,sadness,joy,sadness,nosadness
song2-4,Don't you know I feel the same,sadness,trust,sadness,nosadness
song2-5,Cause nothin' lasts forever,trust,fear,nosadness,nosadness
song2-6,And we both know hearts can change,trust,anticipation,nosadness,nosadness
song2-7,And it's hard to hold a candle,sadness,anger,sadness,nosadness
song2-8,In the cold November rain,sadness,sadness,sadness,sadness
song2-9,We've been through this auch a long long time,anger,disgust,nosadness,nosadness
song2-10,Just tryin' to kill the pain,sadness,disgust,sadness,nosadness
song2-11,But lovers always come and lovers always go,sadness,trust,sadness,nosadness
song2-12,An no one's really sure who's lettin' go today,fear,sadness,nosadness,sadness
song2-13,Walking away,null,fear,nosadness,nosadness
song2-14,If we could take the time,trust,anticipation,nosadness,nosadness
song2-15,to lay it on the line,trust,sadness,nosadness,sadness
song2-16,I could rest my head,trust,disgust,nosadness,nosadness
song2-17,Just knowin' that you were mine,trust,trust,nosadness,nosadness
song2-18,All mine,trust,trust,nosadness,nosadness
song2-19,So if you want to love me,anticipation,anticipation,nosadness,nosadness
song2-20,then darlin' don't refrain,anticipation,trust,nosadness,nosadness
song2-21,Or I'll just end up walkin',sadness,anticipation,sadness,nosadness
song2-22,In the cold November rain,sadness,sadness,sadness,sadness
song2-23,Do you need some time...on your own,sadness,sadness,sadness,sadness
song2-24,Do you need some time...all alone,sadness,sadness,sadness,sadness
song2-25,Everybody needs some time...,trust,trust,nosadness,nosadness
song2-26,on their own,trust,sadness,nosadness,sadness
song2-27,Don't you know you need some time...all alone,sadness,sadness,sadness,sadness
song2-28,I know it's hard to keep an open heart,sadness,trust,sadness,nosadness
song2-29,When even friends seem out to harm you,sadness,disgust,sadness,nosadness
